127.0.0.1, 2010-10-29 12:09:55, GET, /helloDouban/static/calendar.js, HTTP/1.1, 304, 0.002395
127.0.0.1, 2010-10-29 12:09:55, GET, /helloDouban/static/superfish.js, HTTP/1.1, 304, 0.001036
127.0.0.1, 2010-10-29 12:09:55, GET, /helloDouban/static/calendar.css, HTTP/1.1, 304, 0.005242
127.0.0.1, 2010-10-29 12:09:55, GET, /helloDouban/static/jquery.js, HTTP/1.1, 304, 0.002234
127.0.0.1, 2010-10-29 12:09:55, GET, /helloDouban/static/images/background.png, HTTP/1.1, 304, 0.001292
127.0.0.1, 2010-10-29 12:09:55, GET, /helloDouban/static/images/header.png, HTTP/1.1, 304, 0.000798
127.0.0.1, 2010-10-29 12:09:58, GET, /helloDouban/default/user/logout, HTTP/1.1, 303, 0.940947
127.0.0.1, 2010-10-29 12:09:58, GET, /helloDouban/default/index, HTTP/1.1, 200, 0.019475
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/default/index, HTTP/1.1, 200, 0.058040
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/calendar.css, HTTP/1.1, 304, 0.000507
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/calendar.js, HTTP/1.1, 304, 0.000442
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/base.css, HTTP/1.1, 304, 0.000619
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/superfish.js, HTTP/1.1, 304, 0.000554
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/jquery.js, HTTP/1.1, 304, 0.003747
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/images/background.png, HTTP/1.1, 304, 0.001641
127.0.0.1, 2010-10-29 12:12:14, GET, /helloDouban/static/images/header.png, HTTP/1.1, 304, 0.001071
127.0.0.1, 2010-10-29 12:12:16, GET, /helloDouban/default/user/login, HTTP/1.1, 307, 0.977789
127.0.0.1, 2010-10-29 12:12:19, GET, /helloDouban/default/user/login, HTTP/1.1, 303, 1.825103
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/default/home_timeline, HTTP/1.1, 200, 0.701358
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/calendar.css, HTTP/1.1, 304, 0.000461
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/jquery.js, HTTP/1.1, 304, 0.000894
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/calendar.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/base.css, HTTP/1.1, 304, 0.000374
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/superfish.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/images/background.png, HTTP/1.1, 304, 0.001200
127.0.0.1, 2010-10-29 12:12:20, GET, /helloDouban/static/images/header.png, HTTP/1.1, 304, 0.001112
127.0.0.1, 2010-10-29 12:12:25, GET, /helloDouban/default/user/logout, HTTP/1.1, 303, 0.560642
127.0.0.1, 2010-10-29 12:12:25, GET, /helloDouban/default/index, HTTP/1.1, 200, 0.019910
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/default/index, HTTP/1.1, 200, 0.056652
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/jquery.js, HTTP/1.1, 304, 0.001628
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/calendar.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/calendar.js, HTTP/1.1, 304, 0.001418
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/base.css, HTTP/1.1, 304, 0.002201
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/superfish.js, HTTP/1.1, 304, 0.001476
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/images/background.png, HTTP/1.1, 304, 0.000490
127.0.0.1, 2010-10-29 12:13:10, GET, /helloDouban/static/images/header.png, HTTP/1.1, 304, 0.000330
127.0.0.1, 2010-10-29 12:13:12, GET, /helloDouban/default/user/login, HTTP/1.1, 307, 1.173755
127.0.0.1, 2010-10-29 12:13:16, GET, /helloDouban/default/user/login, HTTP/1.1, 303, 1.326146
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/default/home_timeline, HTTP/1.1, 200, 1.041258
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/calendar.js, HTTP/1.1, 304, 0.000651
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/calendar.css, HTTP/1.1, 304, 0.002283
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/base.css, HTTP/1.1, 304, 0.000702
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/superfish.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/jquery.js, HTTP/1.1, 304, 0.000779
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/images/background.png, HTTP/1.1, 304, 0.000481
127.0.0.1, 2010-10-29 12:13:17, GET, /helloDouban/static/images/header.png, HTTP/1.1, 304, 0.000538
127.0.0.1, 2010-10-29 12:13:19, GET, /helloDouban/default/user/logout, HTTP/1.1, 303, 0.802866
127.0.0.1, 2010-10-29 12:13:19, GET, /helloDouban/default/index, HTTP/1.1, 200, 0.018085
